tsmom.lookbacks,vol_overlay.target_vol,exec.rebalance,cagr,vol,sharpe,max_drawdown,calmar,turnover,cost_drag,hit_rate,gross_leverage,net_exposure,n_periods,seed,success,error
[252],0.15,W-FRI,0.32824197946803757,0.17632797709904657,1.6098196813701728,-0.0754553000872806,4.350151402066571,0.28561325553930583,1.4280662776965292e-05,0.5098039215686274,1.7174140594607763,1.3451857083471375,51,0,True,
[252],0.2,W-FRI,0.4444745023194363,0.23153534889114763,1.5882913385280422,-0.09962648648869311,4.461408988561299,0.3770148611395771,1.8850743056978856e-05,0.5098039215686274,2.253655763475167,1.7596182387864523,51,0,True,
"[126, 252]",0.15,W-FRI,0.30940136257487705,0.17616241687302983,1.5302359176232019,-0.07762979076121532,3.985600882611902,0.30982217431298215,1.5491108715649108e-05,0.5490196078431373,1.7425102804061345,1.3763574873625448,51,0,True,
"[126, 252]",0.2,W-FRI,0.4162448575820874,0.2287350396448759,1.5214498962808254,-0.10193445999523026,4.0834557577640025,0.39510120036022023,1.975506001801101e-05,0.5490196078431373,2.258403703750676,1.783258609644068,51,0,True,
